Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010",ODI # 2944
Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010",ODI # 2945
Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010",ODI # 2946
Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010",ODI # 2947
Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010",ODI # 2948
Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010",ODI # 2950
Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010",ODI # 2952
Australia,West Indies,no result,,Sydney,"Feb 12, 2010",ODI # 2954
Australia,West Indies,Australia,50 runs,Brisbane,"Feb 14, 2010",ODI # 2955
Australia,West Indies,Australia,125 runs,Melbourne,"Feb 19, 2010",ODI # 2960
New Zealand,Australia,New Zealand,2 wickets,Napier,"Mar 3, 2010",ODI # 2966
New Zealand,Australia,Australia,12 runs,Auckland,"Mar 6, 2010",ODI # 2969
New Zealand,Australia,Australia,6 wickets,Hamilton,"Mar 9, 2010",ODI # 2971
New Zealand,Australia,Australia,6 wickets,Auckland,"Mar 11, 2010",ODI # 2973
New Zealand,Australia,New Zealand,51 runs,Wellington,"Mar 13, 2010",ODI # 2975
Ireland,Australia,Australia,39 runs,Dublin,"Jun 17, 2010",ODI # 2994
England,Australia,England,4 wickets,Southampton,"Jun 22, 2010",ODI # 3000
England,Australia,England,4 wickets,Cardiff,"Jun 24, 2010",ODI # 3002
England,Australia,England,1 wicket,Manchester,"Jun 27, 2010",ODI # 3003
England,Australia,Australia,78 runs,The Oval,"Jun 30, 2010",ODI # 3004
England,Australia,Australia,42 runs,Lord's,"Jul 3, 2010",ODI # 3011
India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060
Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,"Nov 3, 2010",ODI # 3065
Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,"Nov 5, 2010",ODI # 3066
Australia,Sri Lanka,Australia,8 wickets,Brisbane,"Nov 7, 2010",ODI # 3068
Australia,England,Australia,6 wickets,Melbourne,"Jan 16, 2011",ODI # 3081
Australia,England,Australia,46 runs,Hobart,"Jan 21, 2011",ODI # 3083
Australia,England,Australia,4 wickets,Sydney,"Jan 23, 2011",ODI # 3086
Australia,England,England,21 runs,Adelaide,"Jan 26, 2011",ODI # 3089
Australia,England,Australia,51 runs,Brisbane,"Jan 30, 2011",ODI # 3091
Australia,England,Australia,2 wickets,Sydney,"Feb 2, 2011",ODI # 3094
Australia,England,Australia,57 runs,Perth,"Feb 6, 2011",ODI # 3098
Australia,Zimbabwe,Australia,91 runs,Ahmedabad,"Feb 21, 2011",ODI # 3103
Australia,New Zealand,Australia,7 wickets,Nagpur,"Feb 25, 2011",ODI # 3107
Sri Lanka,Australia,no result,,Colombo (RPS),"Mar 5, 2011",ODI # 3119
Australia,Kenya,Australia,60 runs,Bengaluru,"Mar 13, 2011",ODI # 3130
Australia,Canada,Australia,7 wickets,Bengaluru,"Mar 16, 2011",ODI # 3134
Australia,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2011",ODI # 3139
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143
Bangladesh,Australia,Australia,60 runs,Dhaka,"Apr 9, 2011",ODI # 3149
Bangladesh,Australia,Australia,9 wickets,Dhaka,"Apr 11, 2011",ODI # 3150
Bangladesh,Australia,Australia,66 runs,Dhaka,"Apr 13, 2011",ODI # 3151
Sri Lanka,Australia,Australia,7 wickets,Pallekele,"Aug 10, 2011",ODI # 3175
Sri Lanka,Australia,Australia,8 wickets,Hambantota,"Aug 14, 2011",ODI # 3178
Sri Lanka,Australia,Sri Lanka,78 runs,Hambantota,"Aug 16, 2011",ODI # 3180
Sri Lanka,Australia,Australia,5 wickets,Colombo (RPS),"Aug 20, 2011",ODI # 3182
Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (RPS),"Aug 22, 2011",ODI # 3184
South Africa,Australia,Australia,93 runs,Centurion,"Oct 19, 2011",ODI # 3203
South Africa,Australia,South Africa,80 runs,Port Elizabeth,"Oct 23, 2011",ODI # 3208
South Africa,Australia,Australia,3 wickets,Durban,"Oct 28, 2011",ODI # 3211
Australia,Sri Lanka,Australia,5 runs,Perth,"Feb 10, 2012",ODI # 3235
Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",ODI # 3237
Australia,Sri Lanka,Sri Lanka,8 wickets,Sydney,"Feb 17, 2012",ODI # 3241
Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012",ODI # 3244
Australia,Sri Lanka,Sri Lanka,3 wickets,Hobart,"Feb 24, 2012",ODI # 3248
Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012",ODI # 3250
Australia,Sri Lanka,Sri Lanka,9 runs,Melbourne,"Mar 2, 2012",ODI # 3253
Australia,Sri Lanka,Australia,15 runs,Brisbane,"Mar 4, 2012",ODI # 3255
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Mar 6, 2012",ODI # 3256
Australia,Sri Lanka,Australia,16 runs,Adelaide,"Mar 8, 2012",ODI # 3257
West Indies,Australia,Australia,64 runs,Kingstown,"Mar 16, 2012",ODI # 3262
West Indies,Australia,West Indies,5 wickets,Kingstown,"Mar 18, 2012",ODI # 3264
West Indies,Australia,tied,,Kingstown,"Mar 20, 2012",ODI # 3266
West Indies,Australia,West Indies,42 runs,Gros Islet,"Mar 23, 2012",ODI # 3268
West Indies,Australia,Australia,30 runs,Gros Islet,"Mar 25, 2012",ODI # 3269
Ireland,Australia,no result,,Belfast,"Jun 23, 2012",ODI # 3279
England,Australia,England,15 runs,Lord's,"Jun 29, 2012",ODI # 3280
England,Australia,England,6 wickets,The Oval,"Jul 1, 2012",ODI # 3281
England,Australia,England,8 wickets,Chester-le-Street,"Jul 7, 2012",ODI # 3284
England,Australia,England,7 wickets,Manchester,"Jul 10, 2012",ODI # 3286
Afghanistan,Australia,Australia,66 runs,Sharjah,"Aug 25, 2012",ODI # 3297
Australia,Pakistan,Australia,4 wickets,Sharjah,"Aug 28, 2012",ODI # 3299
Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,"Aug 31, 2012",ODI # 3301
Australia,Pakistan,Australia,3 wickets,Sharjah,"Sep 3, 2012",ODI # 3303
Australia,Sri Lanka,Australia,107 runs,Melbourne,"Jan 11, 2013",ODI # 3317
Australia,Sri Lanka,Sri Lanka,8 wickets,Adelaide,"Jan 13, 2013",ODI # 3319
Australia,Sri Lanka,Sri Lanka,4 wickets,Brisbane,"Jan 18, 2013",ODI # 3321
Australia,Sri Lanka,no result,,Sydney,"Jan 20, 2013",ODI # 3324
Australia,Sri Lanka,Australia,32 runs,Hobart,"Jan 23, 2013",ODI # 3326
Australia,West Indies,Australia,9 wickets,Perth,"Feb 1, 2013",ODI # 3330
Australia,West Indies,Australia,54 runs,Perth,"Feb 3, 2013",ODI # 3331
Australia,West Indies,Australia,39 runs,Canberra,"Feb 6, 2013",ODI # 3332
Australia,West Indies,Australia,5 wickets,Sydney,"Feb 8, 2013",ODI # 3333
Australia,West Indies,Australia,17 runs,Melbourne,"Feb 10, 2013",ODI # 3334
England,Australia,England,48 runs,Birmingham,"Jun 8, 2013",ODI # 3365
Australia,New Zealand,no result,,Birmingham,"Jun 12, 2013",ODI # 3369
Australia,Sri Lanka,Sri Lanka,20 runs,The Oval,"Jun 17, 2013",ODI # 3374
Scotland,Australia,Australia,200 runs,Edinburgh,"Sep 3, 2013",ODI # 3410
England,Australia,Australia,88 runs,Manchester,"Sep 8, 2013",ODI # 3412
England,Australia,no result,,Birmingham,"Sep 11, 2013",ODI # 3414
England,Australia,England,3 wickets,Cardiff,"Sep 14, 2013",ODI # 3415
England,Australia,Australia,49 runs,Southampton,"Sep 16, 2013",ODI # 3416
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",ODI # 3419
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",ODI # 3420
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",ODI # 3421
India,Australia,no result,,Ranchi,"Oct 23, 2013",ODI # 3422
